Frame,LMV Count,HMV Count
0,4,2
1,4,2
2,4,2
3,4,2
4,4,2
5,4,2
6,4,2
7,4,2
8,4,2
9,4,2
10,3,2
11,3,2
12,3,2
13,3,2
14,3,2
15,3,2
16,3,2
17,3,2
18,3,2
19,3,2
20,3,2
21,3,2
22,3,2
23,3,2
24,3,2
25,3,2
26,3,2
27,3,2
28,3,2
29,3,2
30,3,2
31,3,2
32,3,2
33,3,2
34,3,2
35,3,2
36,4,2
37,4,2
38,4,2
39,4,2
40,4,2
41,4,2
42,4,2
43,4,2
44,4,2
45,4,2
46,4,2
47,4,2
48,3,2
49,3,2
50,3,2
51,3,2
52,3,2
53,3,2
54,3,2
55,3,2
56,3,2
57,3,2
58,3,2
59,3,2
60,3,2
61,3,2
62,3,2
63,3,2
64,3,2
65,3,2
66,3,2
67,3,2
68,3,2
69,3,2
70,3,2
71,3,2
72,3,2
73,3,2
74,3,2
75,3,2
76,3,2
77,3,2
78,3,2
79,3,2
80,3,2
81,3,2
82,3,2
83,3,2
84,3,2
85,3,2
86,3,2
87,3,2
88,3,2
89,3,2
90,3,2
91,3,2
92,3,2
93,3,2
94,3,2
95,3,2
96,3,2
97,3,2
98,3,2
99,3,2
100,3,2
101,3,2
102,3,2
103,3,2
104,3,2
105,3,2
106,4,2
107,4,2
108,3,2
109,3,2
110,4,2
111,4,2
112,4,2
113,3,2
114,4,2
115,4,2
116,4,2
117,4,2
118,4,2
119,4,2
120,4,2
121,4,2
122,4,1
123,4,1
124,4,1
125,4,1
126,4,1
127,4,1
128,3,1
129,3,1
130,3,1
131,3,1
132,3,1
133,3,1
134,3,1
135,3,1
136,3,1
137,3,1
138,3,1
139,3,1
140,3,1
141,3,1
142,3,1
143,3,1
144,2,1
145,2,1
146,3,1
147,2,1
148,2,1
149,2,1
150,2,1
151,2,1
152,2,1
153,3,1
154,2,1
155,2,1
156,2,1
157,2,1
158,2,1
159,2,1
160,2,1
161,2,1
162,2,1
163,2,1
164,2,1
165,2,1
166,3,1
167,2,1
168,2,1
169,2,1
170,3,1
171,2,1
172,2,1
173,2,1
174,2,1
175,2,1
176,2,1
177,2,1
178,2,1
179,2,1
180,2,1
181,2,1
182,2,1
183,2,1
184,2,1
185,2,1
186,2,1
187,2,1
188,2,1
189,2,1
190,2,1
191,2,1
192,2,1
193,2,1
194,2,1
195,2,0
196,2,1
197,2,0
198,2,0
199,2,0
200,2,0
201,2,0
202,2,0
203,2,0
204,2,0
205,2,0
206,2,0
207,2,0
208,2,0
209,2,0
210,2,0
211,2,0
212,2,0
213,2,0
214,2,0
